Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
July,2002,Shark,2.7,0.571,0.395,0.176,0.756,24.449,1.327,23.122,0.333,0.03,1.217,961.042,0.39,0.39,28.94,28.45,6.82,6.85,0.74,7.36
July,1996,Shark,2.7,1.263,0.95,0.313,1.968,61.654,3.23,58.424,0.43,0.04,2.336,1248.958,1.1,1.1,29.9,29.8,5.5,5.6,2.6,-9999
November,1998,Shark,2.7,0.785,0.643,0.143,1.028,44.328,1.813,42.516,0.29,0.008,0.992,865.417,0.4,0.4,24.8,24.8,5.8,5.2,1.13,-9999
July,1997,Shark,2.7,1.023,0.855,0.168,0.623,43.992,1.645,42.347,0.395,0.028,4.384,1180,0.6,0.7,30.1,30.1,4.3,4.4,1.01,-9999
February,2003,Shark,2.7,4.827,4.45,0.377,3.043,52.103,7.87,44.233,0.245,0.187,2.862,1363.333,8.26,8.57,24.73,24.8,4.25,4.01,3.8,7.61
January,1996,Shark,2.7,3.06,2.953,0.108,5.253,78.026,8.313,69.714,0.28,0.038,0.984,1524.375,0.7,0.9,16,16,7.7,7.8,0.85,-9999
July,2005,Shark,2.7,0.192,0.007,0.185,1.448,60.697,1.64,59.057,0.388,0.029,5.196,1264.167,1.08,2.03,32.23,31.62,4.36,3.73,1.56,7.55
July,1998,Shark,2.7,1.085,0.908,0.178,0.665,68.599,1.75,66.849,0.658,0.035,6.021,1627.083,6.1,6.1,31.7,31.7,5.5,5.5,1.25,-9999
November,2005,Shark,2.7,0.681,0.552,0.13,2.573,35.483,3.254,32.229,0.262,0.107,2.08,1401.875,1.55,1.58,22.82,22.79,6.06,5.95,1.5,7.62
September,1997,Shark,2.7,1.838,1.695,0.143,0.608,77.325,2.445,74.88,0.433,0.043,2.276,1334.583,0.7,0.7,28.9,28.8,3.7,3.7,2.6,-9999
August,1998,Shark,2.7,1.195,0.875,0.32,1.408,58.817,2.603,56.214,0.488,0.255,4.609,1565.208,1.5,2,30.9,30.8,5.8,5.6,1.4,-9999
January,2002,Shark,2.7,2.303,2.129,0.174,0.886,20.008,3.189,16.818,0.501,0,1.191,1350.208,3.1,3.2,24.6,24.6,8.7,8.18,0.79,-9999
October,2003,Shark,2.7,0.267,0.178,0.089,0.688,44.665,0.955,43.71,0.291,0.03,2.146,1268.125,0.46,1.34,27.04,26.79,5.46,4.82,1.37,7.72
September,1999,Shark,2.7,0.19,0,0.19,0.803,41.665,0.993,40.672,0.55,0.033,0.283,939.375,0.1,0.1,27.1,27,5,4.6,0.26,-9999
February,1998,Shark,2.7,2.205,2.028,0.178,1.433,55.54,3.638,51.902,0.467,0.02,1.328,1207.708,0.8,0.8,22.6,22.4,5.7,5.6,1.8,-9999
December,2004,Shark,2.7,2.081,1.808,0.273,2.695,26.898,4.776,22.123,0.386,0.038,0.807,1347.083,0.62,0.64,23.53,23.37,7.98,8.15,0.99,7.56
December,2003,Shark,2.7,2.465,2.306,0.159,2.031,44.198,4.496,39.702,0.274,0.039,2.372,1497.5,0.93,1.02,20.14,20.18,5.44,5.3,1.38,7.63
May,1996,Shark,2.7,0.83,0.658,0.173,0.458,67.195,1.288,65.907,0.775,0.08,4.52,1556.25,9.9,10.2,27,27.1,5.4,5.5,2.3,-9999
April,2003,Shark,2.7,0.233,0.117,0.116,0.74,39.851,0.973,38.879,0.417,0.106,4.257,1243.542,7.66,7.74,26.49,26.37,5.98,5.34,3.02,7.73
October,2001,Shark,2.7,0.51,0.387,0.123,0.4,26.923,0.91,26.013,0.215,0.025,1.536,1153.958,0.4,0.4,27,27,7.3,8,0.79,-9999
January,2001,Shark,2.7,5.793,5.635,0.158,7.993,47.79,13.785,34.005,0.353,0.198,1.377,1431.667,4.2,4.2,17,17,7.9,7.9,1.5,-9999
June,1998,Shark,2.7,0.67,0.438,0.233,0.888,70.483,1.558,68.925,0.4,0.148,4.289,1599.583,5.2,7.2,34,31.7,6.8,5.4,1.4,-9999
May,2004,Shark,2.7,4.091,3.825,0.266,2.309,28.178,6.4,21.778,0.689,0.086,3.86,1124.167,17.16,20.46,28.31,28.36,6.69,6.62,1.74,7.7
July,1999,Shark,2.7,1.415,1.293,0.123,1.03,53.92,2.445,51.475,0.623,0.025,1.985,1149.167,0.7,0.8,31.7,31.7,3.3,3.3,0.28,-9999
March,2002,Shark,2.7,3.034,2.804,0.23,3.773,32.047,6.806,25.241,0.206,0.105,0.146,1463.125,3.03,3.1,19.94,20.4,6.75,6.57,1,-9999
July,2003,Shark,2.7,0.264,0.13,0.135,0.997,35.142,1.261,33.881,0.293,0.053,3.385,1178.125,1.47,1.68,30.72,30.58,4.63,3.84,0.92,7.49
August,2004,Shark,2.7,0.533,0.395,0.138,0.349,17.39,0.882,16.509,0.244,0.038,1.74,988.333,0.47,0.6,32.28,30.6,6.88,6.94,0.68,7.41
December,2002,Shark,2.7,3.279,3.123,0.156,2.898,19.678,6.177,13.501,0.318,0.002,1.17,1040.208,0.82,0.98,19.94,19.66,7.7,6.39,1.09,7.7
March,1997,Shark,2.7,2.685,2.483,0.203,0.358,63.411,3.043,60.369,0.598,0.078,3.835,1658.333,11.3,11.3,25.6,25.6,5,5.1,1.95,-9999
January,1999,Shark,2.7,6.475,6.285,0.19,6.985,77.911,13.46,64.451,0.268,0.01,0.664,1245.625,1.2,1.3,18.7,18.8,8.5,12.5,1.1,-9999
June,1996,Shark,2.7,0.398,0.183,0.215,0.318,67.238,0.715,66.523,0.48,0.055,8.469,1645,3,3,29.4,29.2,5.4,5.3,2.15,-9999
March,1998,Shark,2.7,1.6,1.49,0.11,1.4,63.929,3,60.929,0.357,0,0.96,1135.833,0.8,0.9,22.2,21.9,5.3,4.8,0.6,-9999
August,2002,Shark,2.7,0.888,0.732,0.156,1.018,74.935,1.906,73.029,0.406,0.1,1.79,1193.542,0.77,0.84,29.61,29.19,5.06,4.04,1.32,7.72
February,2001,Shark,2.7,2.92,2.743,0.178,1.453,46.255,4.373,41.882,0.498,0.045,1.411,1326.25,12.6,13.2,24.2,24.2,5.7,7.1,1.71,-9999
August,2004,Shark,2.7,0.931,0.682,0.249,0.707,23.241,1.638,21.603,0.352,0.034,2.563,1046.25,1.27,1.78,29.55,28.65,5.9,5.91,0.62,7.71
March,2001,Shark,2.7,0.85,0.793,0.058,0.387,48.408,1.237,47.171,0.605,0.08,3.031,1229.792,16.8,16.9,25.3,25.2,4.8,4.8,4.67,-9999
August,1999,Shark,2.7,0.2,0,0.2,0.778,62.55,0.978,61.572,0.45,0.015,4.603,1271.875,0.7,0.8,30.7,30.4,5.1,5.2,0.81,-9999
October,1998,Shark,2.7,2.053,1.808,0.245,2.65,41.371,4.703,36.669,0.312,0.048,2.204,1037.708,0.8,0.8,30.5,30.5,3.4,3.4,0.9,-9999
March,1996,Shark,2.7,2.295,2.07,0.225,6.318,106.551,8.613,97.938,1.148,0.118,0.715,1990.417,1.6,1.7,21.2,21.2,8.2,8.1,6.25,-9999
May,2000,Shark,2.7,1.058,1.031,0.027,0.563,37.823,1.62,36.203,0.832,0.061,2.828,1353.125,11,4.6,29.7,29,5.7,5.6,3.57,-9999
February,1999,Shark,2.7,2.278,2.14,0.138,0.88,60.282,3.158,57.124,0.285,0.03,2.07,1370.208,1.6,1.6,22.7,22.6,6.4,6.4,1,-9999
September,2003,Shark,2.7,0.508,0.408,0.1,0.926,26.654,1.434,25.22,0.207,0.053,1.91,1145.625,0.41,0.53,29.09,28.69,4.25,3.7,0.79,7.65
June,2005,Shark,2.7,1.537,1.14,0.397,1.923,26.113,3.46,22.654,0.39,0.055,2.353,1149.792,3.72,4.34,27.06,26.89,4.51,4.58,0.91,7.59
April,1999,Shark,2.7,2.053,1.813,0.24,1.425,50.733,3.478,47.255,0.703,0.09,1.729,1205,19.3,20.4,28.5,28.5,5.3,5,1.03,-9999
April,2001,Shark,2.7,2.007,1.75,0.258,0.849,34.195,2.856,31.339,0.638,0.043,1.35,1301.667,23.6,26.2,24.9,24.9,1.9,1.6,2.29,-9999
June,1997,Shark,2.7,0.595,0.455,0.14,0.955,50.239,1.55,48.689,0.718,0.025,1.655,1212.708,0.4,0.6,29,28.7,3.6,3.6,0.75,-9999
May,2002,Shark,2.7,0.198,0.185,0.013,0.217,83.911,0.415,83.496,0.655,0.057,3.567,1153.125,18.08,20.27,30,28.99,5.18,5.28,2.11,7.63
February,2002,Shark,2.7,3.943,3.69,0.253,5.217,24.545,9.159,15.386,0.268,0.018,2.882,1639.167,2.01,2.06,22.47,22.5,9.4,9.26,3.68,-9999
September,1996,Shark,2.7,1.09,0.953,0.138,1.398,73.725,2.488,71.238,0.38,0.038,2.858,1413.125,0.3,0.3,30.4,30.1,5.1,5.5,0.8,-9999
January,1997,Shark,2.7,5.985,5.788,0.198,5.668,76.377,11.653,64.725,0.27,0.083,4.33,1721.875,1.8,1.9,22.4,22.4,5.9,5.8,0.35,-9999
December,1999,Shark,2.7,1.318,1.218,0.1,0.85,56.839,2.168,54.671,0.322,0.065,2.887,1144.583,0.2,0.2,22.6,22.6,4.4,4.3,1.1,-9999
July,2001,Shark,2.7,1.945,1.703,0.243,1.116,46.747,3.061,43.685,0.39,0.052,1.952,1726.667,3.6,3.8,31.3,31,1.3,1.1,1.1,-9999
February,2000,Shark,2.7,1.97,1.863,0.108,3.643,55.892,5.613,50.28,0.534,0.083,3.891,1594.792,1,1,21.3,21.3,8.2,8.4,0.72,-9999
November,1997,Shark,2.7,1.576,1.456,0.12,1.813,76.343,3.389,72.954,0.423,0.018,1.018,1412.917,0.5,0.5,23.9,23.8,7.4,7.5,1.35,-9999
February,2005,Shark,2.7,6.874,6.283,0.591,1.227,35.766,8.101,27.666,0.396,0.041,1.685,1633.333,4.1,4.8,20.69,20.57,6.99,7.13,1.68,7.57
February,2004,Shark,2.7,3.193,2.985,0.209,2.832,42.544,6.025,36.519,0.269,0.01,2.438,1374.583,1.54,1.57,21.93,21.93,7.25,7.26,1.36,7.47
September,2000,Shark,2.7,1.171,1.06,0.111,0,36.138,1.171,34.968,0.458,0.188,1.725,1297.083,3.1,3.7,31.2,31.1,4.4,4.5,0.88,-9999
May,1998,Shark,2.7,0.778,0.598,0.18,1.96,62.551,2.738,59.813,0.243,0.135,3.958,1521.667,13.3,14,30.2,30.2,2.7,2.4,1.45,-9999
January,2004,Shark,2.7,3.39,3.343,0.047,2.33,39.7,5.72,33.98,0.222,0.015,3.108,1450.208,1.08,1.1,20.1,20.08,7.23,7.13,1.34,7.94
November,1999,Shark,2.7,1.013,0.873,0.14,1.333,21.964,2.345,19.619,0.273,0.028,2.231,1062.917,0.3,0.3,22.3,22.1,5.6,5.6,1.18,-9999
December,2001,Shark,2.7,1.332,1.242,0.091,0.766,42.706,2.098,40.608,0.155,0.011,0.698,1302.917,0.3,0.3,23.4,23.5,5.6,5.5,0.77,-9999
February,1996,Shark,2.7,2.493,2.358,0.135,6.025,98.383,8.518,89.866,0.398,0.028,0.852,1729.375,0.9,1.8,15.3,15.8,8.4,8.3,2.45,-9999
December,2000,Shark,2.7,4.697,4.437,0.26,1.835,28.703,6.532,22.171,0.338,0.025,2.57,1326.042,4.5,5.8,24.3,24.1,5.6,5.5,0.89,-9999
June,2002,Shark,2.7,2.433,2.307,0.127,3.457,46.788,5.89,40.898,0.78,0,3.617,744.646,10.35,10.63,28.18,28.22,4.46,4.1,1.16,7.63
April,1996,Shark,2.7,4.003,3.69,0.313,0.375,78.957,4.378,74.58,0.72,0.07,3.578,1671.25,8.6,10.6,26.9,26.7,7,6.7,2.7,-9999
August,1997,Shark,2.7,1.188,0.988,0.2,0.8,52.88,1.988,50.892,0.433,0.023,5.402,1177.708,1,1.1,30.5,30.6,3.9,3.8,1.25,-9999
October,2004,Shark,2.7,0.488,0.37,0.118,1.65,28.571,2.138,26.433,0.356,0.053,2.092,1021.458,0.89,0.98,28.47,28.49,6.18,6.14,1.8,7.41
January,1997,Shark,2.7,4.735,4.42,0.315,4.458,87.406,9.193,78.214,0.408,0.038,3.82,1752.083,1.5,1.8,26.1,24.2,5.8,6.4,0.75,-9999
March,2005,Shark,2.7,2.424,1.703,0.721,1.091,27.808,3.515,24.293,0.448,0.054,3.943,1318.883,10.33,14.51,24.01,23.54,7.88,7.86,2.37,7.69
November,2001,Shark,2.7,0.502,0.422,0.081,1.118,47.29,1.62,45.67,0.481,0.019,1.281,1179.167,0.4,0.4,22.6,22.7,6.5,9.7,1.74,-9999
August,1996,Shark,2.7,1.028,0.84,0.188,0.528,79.469,1.555,77.914,0.435,0.045,2.62,1371.875,0.8,0.9,31.8,31.6,6.9,6.9,1.1,-9999
May,1997,Shark,2.7,1.905,1.63,0.275,1.028,71.583,2.933,68.65,0.638,0.038,1.672,1764.792,15.5,15.6,29.3,29.3,5.9,6,1,-9999
May,2005,Shark,2.7,1.93,1.684,0.246,2.736,20.017,4.665,15.352,0.69,0.062,1.115,1111.042,23.9,23.85,28.25,27.52,5.76,5.76,1.67,7.5
September,2005,Shark,2.7,0.329,0.129,0.2,1.462,25.175,1.791,23.384,0.218,0.032,1.652,1065.417,0.23,0.26,30.13,29.52,4.22,3.64,0.98,7.2
September,2002,Shark,2.7,0.651,0.501,0.15,1.207,39.173,1.857,37.316,0.495,0.048,2.36,1227.292,0.37,0.39,29.14,29.04,5.04,4.94,1.15,7.86
November,2000,Shark,2.7,0.871,0.755,0.116,1.054,50.846,1.925,48.921,0.211,0.02,8.156,935.625,0.2,0.2,24.6,24.6,7.2,7.2,0.83,-9999
October,1999,Shark,2.7,0.653,0.518,0.135,0.638,25.931,1.29,24.641,0.702,0.06,3.033,931.188,0.1,0.1,27.6,27.6,8.1,8.2,0.77,-9999
June,2004,Shark,2.7,0.382,0.333,0.048,0.116,22.074,0.498,21.576,0.183,0.021,1.617,650.104,30.35,30.43,32,31.27,6.27,6.26,0.94,7.64
March,2003,Shark,2.7,2.888,2.757,0.132,3.946,41.76,6.834,34.926,0.623,0.156,2.493,1202.083,17.59,16,26.45,26.33,4.6,4.42,2.94,7.87
June,2003,Shark,2.7,0.769,0.517,0.252,0.904,26.657,1.674,24.984,0.237,0.055,3.226,1114.792,0.86,0.9,27.82,27.77,3.65,3.44,0.99,7.78
January,1998,Shark,2.7,1.973,1.823,0.15,1.025,57.93,2.998,54.933,0.387,0.012,1.781,1356.667,1.7,1.7,19.4,19.4,6.5,6.5,1.05,-9999
August,2000,Shark,2.7,0.609,0.481,0.128,0.328,38.361,0.936,37.424,0.365,0.03,2.429,1305,1.4,1.8,27.6,27.9,5.1,5.4,0.63,-9999
November,2004,Shark,2.7,0.436,0.29,0.146,0.97,36.071,1.406,34.665,0.245,0.035,0.969,992.917,0.31,0.32,26.08,26.05,7.85,8.01,0.96,7.43
December,1998,Shark,2.7,3.178,2.965,0.213,1.788,56.494,4.965,51.529,0.615,0.013,1.88,1082.083,1.2,1.2,24.6,24.6,4.1,4.1,2.51,-9999
December,2005,Shark,2.7,1.533,1.392,0.141,3.972,31.67,5.504,26.166,0.246,0.007,2.035,1433.333,1.05,1.09,21.92,21.93,6.44,6.53,1.78,7.48
September,2001,Shark,2.7,0.38,0.261,0.119,0.623,28.492,1.003,27.489,0.3,0.013,2.859,1336.875,0.9,1.2,28.9,28.7,4.48,4.21,0.7,-9999
June,2001,Shark,2.7,2.893,2.04,0.853,1.639,19.358,4.532,14.826,0.675,0.053,3.015,1191.042,20.1,-9999,-9999,-9999,-9999,-9999,0.63,-9999
April,1997,Shark,2.7,0.505,0.398,0.108,0.278,64.009,0.783,63.227,0.583,0.023,3.782,1675.625,15.2,19.3,26.9,26.7,6.3,5.9,4.3,-9999
June,1999,Shark,2.7,2.06,1.775,0.285,1.388,56.724,3.448,53.277,0.45,0.255,3.173,1219.792,1.2,6.1,29.1,28.9,2.5,1.8,1.07,-9999
January,2005,Taylor,2.3,0.318,0.178,0.14,1.404,29.615,1.722,27.892,0.125,0.054,0.459,876.875,41.68,42.23,16.93,16.63,4.55,4.89,7.19,8.39
July,2004,Taylor,2.3,0.13,0.111,0.019,0.003,43.111,0.132,42.979,0.186,0.029,0.526,823.813,47.88,47.9,32.61,32.55,3.83,3.85,1.29,8.27
March,2003,Taylor,2.3,0.164,0.087,0.077,2.773,42.933,2.937,39.996,0.116,0.072,0.705,732.125,35.74,35.74,28.18,28.18,5.37,5.55,1.64,8.17
June,2002,Taylor,2.3,0.056,0.007,0.049,1.365,27.275,1.421,25.854,0.061,0.021,0.785,500.833,40.21,40.21,30.57,30.57,5.64,5.63,0.42,8.53
January,1999,Taylor,2.3,0.288,0.143,0.145,7.78,49.084,8.068,41.016,0.259,0.063,1.26,768.042,31.6,31.6,18.9,18.9,7.8,7.8,5.13,-9999
April,2000,Taylor,2.3,0.267,0.194,0.074,1.659,18.636,1.926,16.71,0.361,0.024,0.332,851.125,34.1,34,25.1,25.1,7.5,7.5,1.08,-9999
December,1998,Taylor,2.3,0.433,0.288,0.145,8.698,46.561,9.131,37.43,0.361,0,0.299,580.021,30.8,31.9,24.4,24.9,6.8,7.3,2.2,-9999
January,2003,Taylor,2.3,0.334,0.129,0.206,1.337,29.316,1.672,27.645,0.182,0.049,0.435,806.521,34.62,34.63,15.11,15.1,7.1,7.13,7.18,8.22
August,2003,Taylor,2.3,0.126,0.08,0.045,3.155,45.002,3.281,41.721,0.098,0.012,0.903,829.25,37.88,37.55,29.84,29.85,6.61,6.4,2.07,8.34
June,1999,Taylor,2.3,0.09,0,0.09,1.12,47.813,1.21,46.603,0.245,0.058,1.148,785.417,39.2,39.2,31.2,31.2,5.8,5.6,1.33,-9999
August,1996,Taylor,2.3,0.335,0.223,0.113,18.768,81.448,19.103,62.345,0.183,0.04,0.269,998.75,37,37,29.6,29.6,4,4.1,2.35,-9999
December,2003,Taylor,2.3,0.626,0.19,0.435,1.586,42.18,2.211,39.969,0.156,0.033,0.292,640.396,26.62,26.56,19.74,19.74,6.74,6.78,3.05,8.37
January,2002,Taylor,2.3,0.085,0.008,0.078,1.107,33.949,1.192,32.757,0.109,0.029,0.499,693.75,28.7,29.27,24.77,24.77,6.7,6.8,0.88,-9999
January,1997,Taylor,2.3,0.54,0.365,0.175,9.88,61.954,10.42,51.534,0.213,0.003,0.259,833.563,29.2,29.5,25.6,25.3,5.8,6.5,0.9,-9999
March,1998,Taylor,2.3,1.103,0.708,0.395,8.228,44.788,9.33,35.458,0.217,0,0.322,583.021,29.2,29.3,23.8,23.7,6,6.1,2.25,-9999
June,2001,Taylor,2.3,0.21,0.113,0.098,3.01,20.406,3.22,17.186,0.12,0.035,0.386,827.292,42.1,-9999,-9999,-9999,-9999,-9999,0.93,-9999
April,2004,Taylor,2.3,0.109,0.061,0.048,0.622,63.836,0.731,63.106,0.13,0.02,0.352,657.479,35.57,35.72,25.99,24.31,6.34,6.27,4.9,8.43
April,1998,Taylor,2.3,0.275,0.133,0.143,3.198,52.8,3.473,49.328,0.18,0.015,0.208,812.083,31.6,31.6,21.7,21.7,7.9,7.9,2.55,-9999
January,1996,Taylor,2.3,0.28,0.24,0.04,0.228,72.018,0.508,71.51,0.413,0.105,3.611,1047.083,27.3,27.3,21.9,21.9,8.6,8.6,4.9,-9999
September,1996,Taylor,2.3,0.22,0.135,0.085,1.055,125.753,1.275,124.478,0.643,0.035,3.7,1636.042,35.3,35.6,30.5,30.5,6.2,6.3,6.05,-9999
November,1997,Taylor,2.3,0.055,0,0.055,3.625,70.571,3.68,66.891,0.315,0.003,2.557,936.042,30.7,30.7,23.8,23.8,4.1,3.5,4.7,-9999
April,2002,Taylor,2.3,0.102,0.056,0.046,0.902,17.114,1.004,16.111,0.255,0.035,0.278,414.583,34.99,35,24.25,24.32,5.09,5.64,1.61,-9999
April,1996,Taylor,2.3,1.338,1.093,0.245,9.923,59.162,11.26,47.902,0.27,0.17,0.225,773.771,34,33.9,27.7,27.8,6.1,6.1,1.7,-9999
December,2000,Taylor,2.3,0.562,0.38,0.182,3.549,26.584,4.111,22.473,1.291,0.038,0.21,890,31.7,31.7,23.5,23.3,7.3,7.8,1.88,-9999
November,1998,Taylor,2.3,0.165,0.085,0.08,2.428,34.706,2.593,32.114,0.202,0,0.432,514.313,34.8,35,26.6,26.5,7.1,7.1,1.15,-9999
December,2005,Taylor,2.3,0.311,0.29,0.02,0.198,31.233,0.508,30.724,0.313,0.041,2.743,891.042,31.11,31.63,21.29,20.82,8.15,8.92,4.26,8.25
June,2005,Taylor,2.3,0.35,0.305,0.045,0.752,48.715,1.102,47.612,0.174,0.026,0.973,549.021,42.88,42.9,29.93,29.86,5.38,5.97,3.04,8.33
February,1999,Taylor,2.3,0.215,0.108,0.108,5.265,63.109,5.48,57.629,0.13,0.005,0.335,-9999,32.5,32.5,25,25.1,7.2,7.3,1.48,-9999
November,1999,Taylor,2.3,1.638,1.342,0.296,17.805,29.713,19.443,10.27,0.155,0.056,0.891,713.167,23.9,23.9,23.4,23.4,9.2,9.2,3.71,-9999
August,2001,Taylor,2.3,0.065,0.015,0.05,2.155,41.224,2.22,39.004,0.21,0.028,0.373,939.167,39.7,39.8,32.7,32.8,4.5,5.3,5.19,-9999
October,2001,Taylor,2.3,0.805,0.61,0.195,5.359,17.366,6.164,11.202,0.111,0.021,0.186,579.938,26.8,29.5,27,27.4,5.9,5.9,2.04,-9999
July,2002,Taylor,2.3,0.227,0.174,0.052,1.639,13.246,1.866,11.38,0.153,0.038,1.293,708.688,33.18,33.24,27.82,27.85,4.13,3.52,1.88,8.32
January,1998,Taylor,2.3,0.588,0.365,0.223,13.458,53.822,14.045,39.777,0.232,0.01,0.231,649.417,29.6,29.6,21.6,21.6,6.9,6.9,0.7,-9999
April,1997,Taylor,2.3,0.225,0.12,0.105,4.388,34.953,4.613,30.34,0.19,0.005,0.372,672.521,36.3,36.3,25.8,25.8,5.9,5.9,6.75,-9999
May,2001,Taylor,2.3,0.323,0.2,0.123,1.38,29.042,1.703,27.339,0.125,0.103,0.211,892.5,42.54,42.63,24.1,24.09,5.29,5.3,3.68,-9999
July,2000,Taylor,2.3,1.33,1.286,0.044,1.965,25.946,3.295,22.651,0.318,0.136,0.681,920,42,42.1,31.2,31.1,2.9,2.9,0.9,-9999
September,1997,Taylor,2.3,0.428,0.335,0.093,4.105,71.439,4.533,66.906,0.245,0.005,0.578,1016.458,31,31,28.6,28.6,6,6.1,2.15,-9999
March,2004,Taylor,2.3,0.208,0.164,0.044,0.7,47.702,0.908,46.794,0.238,0.029,0.914,675.896,33.42,33.76,23.16,23.25,4.54,4.33,2.05,8.18
September,2001,Taylor,2.3,0.065,0.008,0.058,1.54,16.587,1.605,14.982,0.135,0.008,0.526,940.625,39.9,40.4,31.8,31.6,5.24,5.41,1.45,-9999
June,2003,Taylor,2.3,1.805,1.78,0.025,2.002,33.46,3.807,29.653,0.139,0.088,1.438,899.375,34.64,34.68,29.85,29.84,5.7,5.62,2.65,8.3
December,2001,Taylor,2.3,0.145,0.037,0.108,1.947,34.543,2.092,32.452,0.088,0.076,0.194,557.813,27.1,27.2,23.8,23.9,8.5,8.3,1.24,-9999
July,1998,Taylor,2.3,0.23,0.128,0.103,4.89,59.14,5.12,54.02,0.193,0.015,0.374,918.75,40.2,40.2,29.3,29.3,5.3,5.3,0.95,-9999
September,1999,Taylor,2.3,0.13,0,0.13,6.04,98.11,6.17,91.94,0.408,0.068,0.833,917.083,37.4,37.4,27.7,27.7,6,5.8,3.9,-9999
July,1996,Taylor,2.3,0.493,0.29,0.203,15.12,84.545,15.613,68.932,0.228,0.005,0.264,1337.292,33.5,33.5,30.6,30.6,5.1,5.3,2.4,-9999
May,2004,Taylor,2.3,0.186,0.174,0.012,0.227,28.593,0.413,28.18,0.074,0.048,0.566,488.813,39.08,39.09,26.96,26.97,6.06,6.24,2.15,8.4
March,2001,Taylor,2.3,0.51,0.455,0.055,2.063,63.267,2.573,60.695,0.623,0.06,0.962,919.167,36.4,36.3,22.1,22.2,7.7,7.6,9.45,-9999
March,1999,Taylor,2.3,0.11,0.01,0.1,1.395,45.157,1.505,43.652,0.262,0,1.523,886.667,36.2,36.2,23.4,23.4,6.7,6.7,3.39,-9999
June,2000,Taylor,2.3,0.208,0.202,0.006,1.525,28.783,1.733,27.05,0.352,0.085,0.438,962.5,37.9,38,28.6,28.7,4.6,4.4,1.25,-9999
September,2004,Taylor,2.3,0.148,0.077,0.071,2.771,33.451,2.919,30.533,0.158,0.008,0.459,689.292,38.39,40.48,30.08,29.28,4.14,4.24,3.8,8.16
September,2002,Taylor,2.3,0.206,0.167,0.039,1.107,62.956,1.313,61.643,0.665,0.079,0.682,754.479,32.01,34.25,30.87,30.74,6.42,6.63,1.65,8.48
March,1997,Taylor,2.3,0.265,0.208,0.058,2.838,31.904,3.103,28.801,0.16,0.01,0.156,509.708,35.9,36.6,25.1,24.8,6.8,6.7,0.75,-9999
September,2005,Taylor,2.3,0.491,0.312,0.179,3.542,38.803,4.033,34.771,0.201,0.056,1.287,769.125,43.41,43.44,31.53,31.54,6.66,6.6,2.03,8.18
May,2005,Taylor,2.3,0.586,0.449,0.137,1.255,36.998,1.84,35.158,0.289,0.033,0.392,627.063,45.51,45.51,30.29,29.68,5.3,5.37,1.07,8.49
October,2002,Taylor,2.3,0.252,0.165,0.087,2.52,21.212,2.773,18.44,0.294,0.019,0.432,558.583,33.01,35.09,27.36,27.06,6.23,6.31,2.73,8.11
February,2000,Taylor,2.3,0.734,0.697,0.038,0.686,31.495,1.421,30.074,0.066,0.093,1.075,730.542,28.8,28.8,23,22.9,6.4,6.7,1.82,-9999
February,2002,Taylor,2.3,0.202,0.175,0.028,0.552,22.513,0.754,21.758,0.155,0.013,0.453,772.896,28.41,28.46,19.47,19.48,6.69,6.75,3.19,-9999
April,1999,Taylor,2.3,0.133,0.05,0.083,2.498,50.362,2.63,47.732,0.503,0,0.381,974.792,38.6,38.5,28.3,28.4,4.6,4.6,0.61,-9999
October,2000,Taylor,2.3,0.459,0.271,0.188,2.641,21.318,3.1,18.218,0.072,0.038,0.266,619.708,34.6,34.6,25,25,6.3,4.9,2.08,-9999
February,2005,Taylor,2.3,0.31,0.281,0.029,0.571,26.134,0.881,25.252,0.154,0.035,0.249,834.188,42.73,42.95,22.97,23.03,5.21,4.77,1.63,8.33
August,1998,Taylor,2.3,0.2,0.105,0.095,4.415,68.105,4.615,63.49,0.245,0.013,0.222,1057.083,40.3,40.3,30.9,31,4.1,4.1,0.31,-9999
September,2003,Taylor,2.3,0.231,0.134,0.097,2.963,71.817,3.194,68.623,0.167,0.013,1.233,913.333,35.71,35.49,31.81,30.6,5.33,6.8,3.14,8.04
March,2002,Taylor,2.3,0.042,0,0.042,0.724,23.191,0.766,22.424,0.152,0,0.395,695.646,29.58,29.59,25.36,25.36,3.35,3.16,1.38,-9999
October,1999,Taylor,2.3,0.754,0.615,0.139,38.11,38.494,38.864,0,0.127,0,1.459,683.771,26.4,26.5,22.6,22.6,4.7,4.5,6.86,-9999
January,2001,Taylor,2.3,0.362,0.217,0.145,2.41,68.057,2.772,65.285,0.896,0.01,0.675,1045.625,35.2,35.2,15.7,15.8,7.1,7,11.21,-9999
September,1998,Taylor,2.3,0.2,0.15,0.05,2.713,43.187,2.913,40.275,0.255,0.055,0.46,742.917,36.3,37,26.7,26.7,6.9,4.5,1.88,-9999
July,2005,Taylor,2.3,0.24,0.17,0.069,2.787,21.332,3.026,18.306,0.206,0.031,0.463,333.417,39.91,39.95,31.53,31.45,7.22,7.3,4.56,8.28
July,1999,Taylor,2.3,0.108,0,0.108,1.703,63.43,1.81,61.62,0.223,0.02,0.387,927.917,37,37.1,27.9,28,5.7,5.6,2.2,-9999
